Trick Name,"Alternate
Name(s)",Categories,Definition,"Invented by /
 First Landed by","Year First
Landed","Reference Video Link
(original is best or clear example)","Reference 
 Time in Video",Prerequisite Trick,Optional Prerequisite Trick,"Entered /
 Last Edited by",NOTES:
1080 Side Spin,1080 Side,"spin, wrap",1080 unispin + leg wrap in same direction as unispin,,,https://www.youtube.com/watch?v=7Q5M9qMXkU0,,900 side spin,1080,Noli Ergas,
1080 Unispin,1080,spin,"feet leave pedals, unicycle turns 1080 degrees relative to ground, feet land on pedals",Adrien Delecroix,2009,https://vimeo.com/5366980,0:00,900 unispin,,Emile Mathieu,
1170 Unispin Up,,spin,,Eli Brill,,,,,,,
1260 Side Spin,1260 Side,"spin, wrap",1260 unispin + leg wrap in same direction as unispin,Eli Brill,2024,https://www.youtube.com/watch?v=TYLYeAFeBqs,,1080 side spin,1260,Trey Haun,
1260 Unispin,,spin,"feet leave pedals, unicycle turns 1260 degrees relative to ground, feet land on pedals",Eli Brill,2012,,,1080 unispin,,Noli Ergas,
180 antiside spin,,"spin, wrap","180 unispin with a leg wrap in the opposite direction of the spin (if you do the wrap with your back leg, spin toward your front foot. If you do the wrap with your front leg, spin away from your front foot) *see note for the handpass variations 180 antisides",,,,,"180 unispin, side jump",,Trey Haun,"There are three ways of doing a 180 antiside spin (three different handpasses). 1) seat out to seat in version that Pierre Sturney used for antiside flip variations. You spin the uni 180 degrees away from the leg doing the wrap, then pass the seat to your other hand as your leg wraps around the seat. 2) one handed seat out to seat in version that's more like wrapping your leg around the seat as you do an in-spin. Let go just before completing the wrap, land back on pedals. You may or may not grab the seat with your free hand for stabilization once you land. 3) Seat in to seat in version (one handed), basically a corona flip without the flip. "
180 anti backside spin,,"spin, wrap","180 backside spin but it spins the opposite direction (if you do the backside wrap around your back leg, then spin toward your front foot. if you do the backside wrap around your front leg, then spin away from your front foot)",,,https://youtu.be/G7Y9fUPDTVg?si=KIpmmqGDXKY_MJJA&t=44,0:44,"180 unispin, backside jump",,Trey Haun,
180 anti backside flip,,"spin, wrap, flip",180 anti backside spin + crank flip,,,https://youtu.be/CpIXO1P4Aqc?feature=shared&t=82,1:22,180 anti backside spin,,Trey Haun,
180 anti backside double flip,,"spin, wrap, flip",180 anti backside spin + double flip,Scott Julian,,https://youtu.be/1ZUtTN5lwyQ?feature=shared&t=251,4:11,180 anti backside flip,,Trey Haun,
180 antiside overflip,,"spin, wrap, flip",180 antiside spin followed by an overflip,Lorenz Poham?,,https://youtu.be/WnWcmxTbT_I?si=DjRQW17XQu0Zr_W1&t=73,1:14,180 antiside spin,hick over flip,Trey Haun,
180 Back Flip,,"twist, flip",180 flip with backwards wheel rotation,,,,,"180 twist, back crank flip",,Emile Mathieu,
180 body varial,body varial,"varial, spin","your body spins 180 around the unicycle (so you are spinning a 180 unispin relative to you, but the unicycle stays in place relative to the ground)",,,,,180 twist,,Trey Haun,
180 double back flip,180 double back,"twist, flip",180 double flip with backwards wheel rotation,,,,,180 back flip,,Emile Mathieu,
180 Double Flip,,"twist, flip",180 twist + double flip,Shaun Johanneson,,,,180 flip,"180 twist, double flip",Emile Mathieu,
180 Flip,,"twist, flip",180 twist + crank flip,Shaun Johanneson,,http://www.relentlessbyfate.com/tricks.php,,"180 twist, crank flip",,Kevin McMullin,
180 no-handed unispin,,spin,180 unispin without using your hands (seat in to seat in),,,,,180 unispin,,Trey Haun,
180 secret side spin,,"spin, wrap","180 unispin that wraps in front of one leg, behind both legs, and out from behind your other leg",Jack Sebben,"April 6th, 2024",https://youtu.be/d_fEtm5XY1E?si=pQ6eyLdOSksLKR6W&t=46,0:46,secret side,,Trey Haun,
180 Quad Flip,,"twist, flip",180 twist + quad flip,Krisz Kovacs,,https://youtu.be/1ZUtTN5lwyQ?feature=shared&t=258,4:19,"180 twist, quad flip, 180 triple flip",,Emile Mathieu,
180 Rev,,"twist, rev",180 twist + rev,,,,,"180 twist, rev",,Noli Ergas,
180 Scissor Side Spin,,"spin, wrap",180 side around one leg followed by a side jump around the other leg,Clement Pujol,2025,https://youtu.be/Z5mJmUUEMZQ?si=J_l1UT0L-_mYPLlH&t=197,3:17,"180 side spin, side jump",,Trey Haun,
180 side spin,180 side,"spin, wrap",180 unispin where one leg wraps around the seat in the same direction as the spin,,,https://youtu.be/byf23VSm1EA?si=rAawRPha3fVimkF_&t=106,1:46,"side jump, 180 unispin",,Trey Haun,
180 stepover legaround,Standup legaround body varial,"jam, footjam, crownjam","One foot on tire/crown, twist around body and make a wrap round the saddle with your foot at the same time",Bobousse? ,,https://www.instagram.com/p/BibddeigFki/,The very first thing in the combo,,,Ivar Christenson,
180 Superman,,"spin, wild",Superman ending in a 180 unispin,Eli Brill,2012,https://vimeo.com/48152895,20:49,"Superman, 180 unispin",,Noli Ergas,
180 triple back flip,180 triple back,"twist, flip",180 triple flip with backwards wheel rotation,Eli Brill,2011,,,"180 twist, triple back flip",,Emile Mathieu,
180 Triple Flip,,"twist, flip",180 twist + triple flip,,,,,"180 twist, triple flip",,Emile Mathieu,
180 Twist,"180 Hop Twist, 180",twist,body and unicycle turn 180 degrees in the air relative to direction of travel,,,,,,,Trey Haun,One of the foundational tricks
180 Unispin,1 Spin,spin,"feet leave pedals, unicycle turns 180 degrees relative to ground, feet land on pedals",,,http://www.relentlessbyfate.com/tricks.php,,,,Trey Haun,One of the foundational tricks
270 antiside spin,,"spin, wrap","270 unispin with a leg wrap in the opposite direction of the spin (either from pedals to seat-in-back on tire, or from seat-in-front on tire down to pedals)",,,,,,,Trey Haun,
270 Twist,"270 Hop Twist, 270",twist,body and unicycle turn 270 degrees in the air relative to direction of travel,,,,,,,Noli Ergas,Term only used with going to or from a pedal/crank grab
270 Unispin down,,spin,"Spin the unicycle 270 degrees, land on unicycle (either from pedals up to tire, or, from tire down to pedals)",,,,,90 unispin,,Noli Ergas,
270 Unispin up,,,,,,,,,,,
360 antiside spin,,"spin, wrap",360 unispin with a leg wrap in the opposite direction of the spin *see note for the two handpass variations,,,https://youtu.be/xYeKvE1mfPs?feature=shared&t=50,0:51,180 antiside spin,,Trey Haun,360 antisides have been done with different handpasses. See these videos for other variations: https://youtu.be/eYGtxf5dkLI?si=br4rPDK09VDENGgL&t=53 and https://www.youtube.com/watch?v=_gx1zRkv61w and https://www.youtube.com/live/19rh-YyXJLM?si=39bNa7oN-53_BAuR&t=13286
360 anti backside spin,,"spin, wrap","360 backside spin but it spins the opposite direction (if you do the backside wrap around your back leg, then spin toward your front foot. if you do the backside wrap around your front leg, then spin away from your front foot)",Sean Minter,,https://youtu.be/oLvuNcWHLLM?feature=shared&t=77,1:17,180 anti backside spin,,Trey Haun,
360 back flip,,"twist, flip",360 hop twist + back flip,,,,,,,,
360 back rev,,"twist, rev",360 hop twist + back rev,Eddie Ducol ,2012,https://youtu.be/9NkfFR50PKA?si=eS8PPN1J-l1zgGre,,,,Eddie Ducol ,
